"OBJECTID","Reference","Sampling_Date","Gear","ExDate","Bluefish","Common.Snook","Mullets","Pinfish","Red.Drum","Sand.Seatrout"
2713417,"TBM2013080204","2013-08-14 20:00:00",160,"2018-04-12 07:01:08",0,0,0,0,10,0
2713422,"TBM2013080308","2013-08-11 20:00:00",20,"2018-04-12 07:01:08",0,0,0,18,0,0
2714542,"TBM2009071303","2009-07-08 20:00:00",300,"2018-04-12 06:42:29",0,0,0,0,0,60
2714543,"TBM2009071304","2009-07-08 20:00:00",300,"2018-04-12 06:42:29",0,0,0,0,0,16
2714596,"TBM2009080304","2009-08-05 20:00:00",160,"2018-04-12 06:42:36",0,0,0,0,1,0
2715006,"TBM2013081201","2013-08-20 20:00:00",20,"2018-04-12 07:01:18",0,0,0,3,0,0
2715132,"TBM2013091205","2013-09-18 20:00:00",160,"2018-04-12 07:01:26",0,0,0,0,5,0
2715134,"TBM2013091301","2013-09-22 20:00:00",160,"2018-04-12 07:01:26",0,2,0,0,0,0
2715459,"TBM2013091203","2013-09-18 20:00:00",160,"2018-04-12 07:01:21",0,91,0,0,0,0
2715464,"TBM2013091302","2013-09-22 20:00:00",160,"2018-04-12 07:01:21",0,0,0,2114,0,0
2715682,"TBM2013091301","2013-09-22 20:00:00",160,"2018-04-12 07:06:10",0,0,0,282,0,0
2715684,"TBM2013091303","2013-09-22 20:00:00",20,"2018-04-12 07:06:10",0,0,0,1,0,0
2715766,"TBM2013101203","2013-10-15 20:00:00",160,"2018-04-12 07:06:10",0,0,0,2,0,0
2715802,"TBM2013101201","2013-10-15 20:00:00",160,"2018-04-12 07:01:20",0,0,0,199,0,0
2715803,"TBM2013101203","2013-10-15 20:00:00",160,"2018-04-12 07:01:20",0,1,0,0,0,0
2715804,"TBM2013101206","2013-10-15 20:00:00",160,"2018-04-12 07:01:20",0,2,0,0,0,0
2715862,"TBM2013110601","2013-11-05 19:00:00",20,"2018-04-12 07:01:26",0,0,0,0,3,0
2715869,"TBM2013110607","2013-11-05 19:00:00",300,"2018-04-12 07:01:26",0,0,0,0,5,0
2715876,"TBM2013110705","2013-11-05 19:00:00",160,"2018-04-12 07:01:26",1,0,0,0,0,0
