OBJECTID,Reference,Sampling_Date,Latitude,Longitude,Gear,ExDate,Bluefish,Common Snook,Mullets,Pinfish,Red Drum,Sand Seatrout
2605516,TBM2009061002,2009-06-15T00:00:00Z,27.996866,-82.63455,20,2018-04-12T10:42:26Z,0,0,0,8,0,0
2605704,TBM2009060604,2009-06-09T00:00:00Z,27.8593,-82.553783,300,2018-04-12T10:42:27Z,0,0,0,0,0,1
2607629,TBM2007111201,2007-11-01T00:00:00Z,27.888733,-82.627283,160,2018-04-12T10:32:38Z,0,0,0,1,0,0
2610591,TBM2009061007,2009-06-15T00:00:00Z,27.95465,-82.546333,20,2018-04-12T10:41:57Z,0,0,0,118,0,0
2619153,TBM2007120501,2007-12-10T00:00:00Z,27.872867,-82.598233,20,2018-04-12T10:33:10Z,0,0,0,0,1,0
2619511,TBM2008010705,2008-01-07T00:00:00Z,27.938167,-82.72395,160,2018-04-12T10:33:11Z,0,2,0,0,0,0
2619593,TBM2008020307,2008-02-11T00:00:00Z,27.914583,-82.533167,20,2018-04-12T10:33:11Z,0,0,0,213,0,0
2620627,TBM2009050404,2009-05-04T00:00:00Z,27.941866,-82.698233,300,2018-04-12T10:45:32Z,0,0,0,0,0,36
2620631,TBM2009050406,2009-05-04T00:00:00Z,27.910816,-82.6081,300,2018-04-12T10:45:32Z,0,0,0,0,0,1
2621110,TBM2009070203,2009-07-08T00:00:00Z,27.8545,-82.596666,160,2018-04-12T10:45:43Z,0,0,0,0,10,0
2621117,TBM2009070304,2009-07-23T00:00:00Z,27.9979,-82.6567,20,2018-04-12T10:45:43Z,0,0,0,15,0,0
2622222,TBM2009061006,2009-06-15T00:00:00Z,27.92975,-82.53465,20,2018-04-12T10:42:29Z,0,0,0,8,0,0
2622310,TBM2009070203,2009-07-08T00:00:00Z,27.8545,-82.596666,160,2018-04-12T10:42:29Z,0,1,0,0,0,0
2623434,TBM2009070302,2009-07-23T00:00:00Z,27.970366,-82.6149,160,2018-04-12T10:42:29Z,0,2,0,0,0,0
2623435,TBM2009070302,2009-07-23T00:00:00Z,27.970366,-82.6149,160,2018-04-12T10:42:29Z,0,0,0,476,0,0
2623549,TBM2009050408,2009-05-04T00:00:00Z,27.85095,-82.58715,300,2018-04-12T10:41:48Z,0,0,0,2,0,0
2623723,TBM2009061008,2009-06-15T00:00:00Z,27.948733,-82.570633,300,2018-04-12T10:41:50Z,0,0,0,1,0,0
2623732,TBM2009061301,2009-06-16T00:00:00Z,27.909283,-82.627716,160,2018-04-12T10:41:50Z,0,0,0,45,0,0
2624226,TBM2009071308,2009-07-09T00:00:00Z,27.907866,-82.62815,20,2018-04-12T10:42:38Z,0,0,0,5,0,0
2624561,TBM2009070203,2009-07-08T00:00:00Z,27.8545,-82.596666,160,2018-04-12T10:42:31Z,0,0,0,577,0,0
2624566,TBM2009070303,2009-07-23T00:00:00Z,27.999183,-82.657066,20,2018-04-12T10:42:31Z,0,0,0,1,0,0
2625346,TBM2009061004,2009-06-15T00:00:00Z,27.927233,-82.703366,20,2018-04-12T10:42:25Z,0,0,0,2,0,0
2625360,TBM2009061302,2009-06-16T00:00:00Z,27.97395,-82.590716,160,2018-04-12T10:42:25Z,0,0,0,9,0,0
2625463,TBM2009070204,2009-07-08T00:00:00Z,27.836066,-82.58295,20,2018-04-12T10:42:27Z,0,0,0,22,0,0
2625468,TBM2009070302,2009-07-23T00:00:00Z,27.970366,-82.6149,160,2018-04-12T10:42:27Z,0,0,0,0,1,0
2625471,TBM2009070305,2009-07-23T00:00:00Z,28.007833,-82.664133,160,2018-04-12T10:42:27Z,0,0,0,0,1,0
2625739,TBM2009061003,2009-06-15T00:00:00Z,27.986766,-82.635483,300,2018-04-12T10:41:58Z,0,0,0,2,0,0
2625849,TBM2009061302,2009-06-16T00:00:00Z,27.97395,-82.590716,160,2018-04-12T10:42:33Z,0,0,0,0,1,0
2626257,TBM2009070305,2009-07-23T00:00:00Z,28.007833,-82.664133,160,2018-04-12T10:42:27Z,0,0,0,96,0,0
2626464,TBM2009061304,2009-06-16T00:00:00Z,28.010033,-82.678,160,2018-04-12T10:42:26Z,0,0,0,4,0,0
2627688,TBM2009071306,2009-07-09T00:00:00Z,27.909766,-82.6526,20,2018-04-12T10:42:29Z,0,0,0,13,0,0
2627987,TBM2008030605,2008-03-11T00:00:00Z,28.0071,-82.664183,160,2018-04-12T10:36:13Z,0,0,0,0,1,0
2628682,TBM2009080302,2009-08-06T00:00:00Z,27.939183,-82.538216,20,2018-04-12T10:42:31Z,0,0,0,5,0,0
2628683,TBM2009080303,2009-08-06T00:00:00Z,27.915916,-82.679183,160,2018-04-12T10:42:31Z,0,0,0,108,0,0
2628688,TBM2009080404,2009-08-12T00:00:00Z,27.962066,-82.6696,300,2018-04-12T10:42:31Z,0,0,0,0,0,312
2629351,TBM2009081401,2009-08-18T00:00:00Z,27.884533,-82.5553,300,2018-04-12T10:45:06Z,0,0,0,0,0,1
2629352,TBM2009081402,2009-08-18T00:00:00Z,27.875183,-82.53105,160,2018-04-12T10:45:06Z,0,1,0,0,0,0
2629907,TBM2009071304,2009-07-09T00:00:00Z,27.960016,-82.6836,300,2018-04-12T10:42:27Z,0,0,0,13,0,0
2630576,TBM2009080402,2009-08-12T00:00:00Z,27.916166,-82.6836,20,2018-04-12T10:42:37Z,0,0,0,19,0,0
2631139,TBM2009090103,2009-09-01T00:00:00Z,28.00885,-82.654416,160,2018-04-12T10:42:31Z,0,0,0,0,9,0
2631663,TBD1996091603,1996-09-16T00:00:00Z,28.001167,-82.632667,251,2018-04-12T10:45:36Z,0,0,0,8,0,0
2632057,TBD2002090201,2002-09-18T00:00:00Z,27.982217,-82.610117,251,2018-04-12T10:46:01Z,0,0,0,0,1,0
2632065,TBD2002100202,2002-10-17T00:00:00Z,27.98585,-82.6113,251,2018-04-12T10:46:01Z,0,1,0,0,0,0
2632078,TBD2002120303,2002-12-19T00:00:00Z,28.008017,-82.639583,251,2018-04-12T10:46:01Z,0,0,0,0,1,0
2636630,TBD1997092504,1997-09-25T00:00:00Z,27.836,-82.593833,251,2018-04-12T10:45:31Z,0,0,0,7,0,0
2636638,TBD1997102302,1997-10-23T00:00:00Z,27.845,-82.543333,251,2018-04-12T10:45:31Z,0,0,0,0,2,0
2636748,TBD2002120302,2002-12-19T00:00:00Z,28.006733,-82.639233,251,2018-04-12T10:46:16Z,0,0,0,0,2,0
2637254,TBD1997102304,1997-10-23T00:00:00Z,27.8425,-82.5505,251,2018-04-12T10:45:31Z,0,0,0,4,0,0
2640416,TBD1996101502,1996-10-15T00:00:00Z,27.990333,-82.620167,251,2018-04-12T10:46:00Z,0,0,0,0,3,0
2640433,TBD1997092505,1997-09-25T00:00:00Z,27.8375,-82.590167,251,2018-04-12T10:46:00Z,0,0,0,1,0,0
2641891,TBD1997102303,1997-10-23T00:00:00Z,27.846167,-82.547,251,2018-04-12T10:45:34Z,0,0,0,0,1,0
2642233,TBD1996101502,1996-10-15T00:00:00Z,27.990333,-82.620167,251,2018-04-12T10:45:27Z,0,0,0,1,0,0
2642243,TBD1997092504,1997-09-25T00:00:00Z,27.836,-82.593833,251,2018-04-12T10:45:27Z,0,0,0,0,1,0
2642276,TBD1998102804,1998-10-28T00:00:00Z,27.905167,-82.648167,251,2018-04-12T10:45:27Z,0,0,0,0,3,0
2642326,TBD2000102401,2000-10-24T00:00:00Z,27.983833,-82.615167,251,2018-04-12T10:46:11Z,0,1,0,0,0,0
2642455,TBD1998100601,1998-10-06T00:00:00Z,27.977333,-82.6055,251,2018-04-12T10:45:33Z,0,0,0,0,6,0
2642459,TBD1998102906,1998-10-29T00:00:00Z,27.8375,-82.5875,251,2018-04-12T10:45:33Z,0,0,0,3,0,0
2642890,TBD2005013901,2005-01-07T00:00:00Z,27.845717,-82.545533,251,2018-04-12T10:47:42Z,0,0,0,0,4,0
2643093,TBD2007110201,2007-11-20T00:00:00Z,27.83735,-82.5925,251,2018-04-12T10:47:52Z,0,0,0,1,0,0
2643460,TBD2004100201,2004-10-26T00:00:00Z,27.989833,-82.61885,251,2018-04-12T10:46:03Z,0,0,0,0,1,0
2643763,TBD1996101501,1996-10-15T00:00:00Z,27.985667,-82.6155,251,2018-04-12T10:45:15Z,0,0,0,0,2,0
2643778,TBD1997092504,1997-09-25T00:00:00Z,27.836,-82.593833,251,2018-04-12T10:45:20Z,0,1,0,0,0,0
2643872,TBD2000092703,2000-09-27T00:00:00Z,27.967333,-82.693,251,2018-04-12T10:46:14Z,0,2,0,0,0,0
2644371,TBD2000092702,2000-09-27T00:00:00Z,28.022833,-82.686667,251,2018-04-12T10:45:34Z,0,0,0,0,1,0
2644372,TBD2000102403,2000-10-24T00:00:00Z,27.989333,-82.617167,251,2018-04-12T10:45:34Z,0,0,0,0,2,0
2644639,TBM2009080301,2009-08-06T00:00:00Z,27.941683,-82.550616,160,2018-04-12T10:46:16Z,0,0,0,236,0,0
2644643,TBM2009080303,2009-08-06T00:00:00Z,27.915916,-82.679183,160,2018-04-12T10:46:16Z,0,0,0,0,1,0
2644770,TBM2009090105,2009-09-01T00:00:00Z,27.961183,-82.6908,160,2018-04-12T10:46:17Z,0,0,0,19,0,0
2645020,TBD2002100202,2002-10-17T00:00:00Z,27.98585,-82.6113,251,2018-04-12T10:46:05Z,0,0,0,0,3,0
2645099,TBD2005100201,2005-10-19T00:00:00Z,27.9774,-82.5993,251,2018-04-12T10:47:35Z,0,0,0,0,3,0
2645121,TBD2006090204,2006-09-22T00:00:00Z,27.98535,-82.6105,251,2018-04-12T10:47:38Z,0,2,0,0,0,0
2645201,TBD2011070201,2011-07-19T00:00:00Z,27.9724,-82.612083,251,2018-04-12T10:47:49Z,0,0,0,0,1,0
